,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
1304,K2-22 b,795.0,1.4 Jupiters,15.565,2015,Neptune-like,0.223 x Jupiter,0.0088 AU,0.4 days,0.19,K2-22,Transit,3830.0,0.57,0.6,11h17m55.85s,+02d37m08.53s
1305,K2-220 b,762.0,6.3 Earths,11.873,2018,Neptune-like,0.213 x Jupiter,0.1104 AU,13.7 days,0,K2-220,Transit,5660.0,1.02,0.96,00h51m04.80s,+09d31m00.37s
1306,K2-221 b,1040.0,3.46 Earths,12.571,2018,Super Earth,1.679 x Earth,Unknown,2.4 days,0,K2-221,Transit,5716.0,0.95,1.01,01h06m37.21s,+10d11m23.06s
1307,K2-222 b,331.0,6.3 Earths,9.543,2018,Neptune-like,0.213 x Jupiter,0.1211 AU,15.4 days,0,K2-222,Transit,6058.0,1.09,1.0,01h05m51.00s,+11d45m13.38s
1308,K2-223 b,648.0,0.64 Earths,11.443,2018,Terrestrial,0.89 x Earth,0.0127 AU,0.5 days,0,K2-223,Transit,5835.0,0.99,1.06,12h21m13.48s,-10d16m55.53s
1309,K2-223 c,648.0,3.09 Earths,11.443,2018,Super Earth,1.57 x Earth,0.0549 AU,4.6 days,0,K2-223,Transit,5835.0,0.99,1.06,12h21m13.48s,-10d16m55.53s
1310,K2-224 b,898.0,3.05 Earths,12.7,2018,Super Earth,1.56 x Earth,0.0516 AU,4.5 days,0,K2-224,Transit,5620.0,0.84,0.91,12h38m48.99s,-10d03m38.14s
1311,K2-224 c,898.0,6.39 Earths,12.7,2018,Neptune-like,0.215 x Jupiter,0.0886 AU,10.1 days,0,K2-224,Transit,5620.0,0.84,0.91,12h38m48.99s,-10d03m38.14s
1312,K2-225 b,1167.0,12 Earths,11.836,2018,Neptune-like,0.311 x Jupiter,0.134 AU,15.9 days,0,K2-225,Transit,5742.0,1.7,1.27,12h26m09.86s,-09d37m29.36s
1313,K2-226 b,689.0,2.99 Earths,12.337,2018,Super Earth,1.54 x Earth,0.0413 AU,3.3 days,0,K2-226,Transit,5424.0,0.91,0.88,12h14m34.96s,-09d33m45.46s
1314,K2-227 b,611.0,3.41 Earths,12.015,2018,Super Earth,1.666 x Earth,Unknown,13.6 days,0,K2-227,Transit,5673.0,0.89,0.95,12h43m47.62s,-08d28m42.30s
1315,K2-228 b,422.0,1.92 Earths,13.028,2018,Super Earth,1.21 x Earth,0.0338 AU,2.7 days,0,K2-228,Transit,4715.0,0.65,0.71,12h29m10.73s,-06d50m03.13s
1316,K2-229 b,335.0,2.49 Earths,10.985,2018,Super Earth,1.14 x Earth,0.0131 AU,0.6 days,0,K2-229,Transit,5315.0,0.79,0.87,12h27m29.50s,-06d43m18.65s
1317,K2-229 c,335.0,21.3 Earths,10.985,2018,Super Earth,2.03 x Earth,0.0769 AU,8.3 days,0,K2-229,Transit,5315.0,0.79,0.87,12h27m29.50s,-06d43m18.65s
1318,K2-230 b,1764.0,4.5 Earths,12.789,2018,Super Earth,1.96 x Earth,0.0409 AU,2.9 days,0,K2-230,Transit,5945.0,1.39,1.11,12h45m27.15s,-06d34m33.78s
1319,K2-231 b,1048.0,6.8 Earths,12.768,2018,Neptune-like,0.223 x Jupiter,Unknown,13.8 days,0,K2-231,Transit,5695.0,0.95,1.01,19h16m22.04s,-15d46m16.38s
1320,K2-232 b,426.0,0.398 Jupiters,9.822,2018,Gas Giant,1.0 x Jupiter,0.10356 AU,11.2 days,0.26,K2-232,Transit,6154.0,1.16,1.19,04h55m04.03s,+18d39m15.56s
1321,K2-233 b,220.0,11.26 Earths,10.883,2018,Super Earth,1.343 x Earth,0.03308 AU,2.5 days,0.08,K2-233,Transit,5033.0,0.71,0.79,15h21m55.18s,-20d13m54.47s
1322,K2-233 c,220.0,12.81 Earths,10.883,2018,Super Earth,1.281 x Earth,0.06666 AU,7.1 days,< 0.2002,K2-233,Transit,5033.0,0.71,0.79,15h21m55.18s,-20d13m54.47s
1323,K2-233 d,220.0,21.14 Earths,10.883,2018,Super Earth,0.21 x Jupiter,0.15224 AU,24.4 days,< 0.1999,K2-233,Transit,5033.0,0.71,0.79,15h21m55.18s,-20d13m54.47s
1324,K2-237 b,1028.0,1.236 Jupiters,11.602,2018,Gas Giant,1.642 x Jupiter,0.0353 AU,2.2 days,0,K2-237,Transit,6099.0,1.38,1.23,16h55m04.52s,-28d42m38.10s
1325,K2-238 b,1755.0,0.86 Jupiters,13.973,2018,Gas Giant,1.3 x Jupiter,0.046 AU,3.2 days,0,K2-238,Transit,5630.0,1.59,1.19,23h10m49.04s,-07d51m27.21s
1326,K2-239 b,101.0,1.37 Earths,14.632,2018,Super Earth,1.1 x Earth,0.0441 AU,5.2 days,0,K2-239,Transit,3420.0,0.36,0.4,10h42m22.59s,+04d26m28.95s
1327,K2-239 c,101.0,0.972 Earths,14.632,2018,Terrestrial,1.0 x Earth,0.0576 AU,7.8 days,0,K2-239,Transit,3420.0,0.36,0.4,10h42m22.59s,+04d26m28.95s
1328,K2-239 d,101.0,1.37 Earths,14.632,2018,Super Earth,1.1 x Earth,0.0685 AU,10.1 days,0,K2-239,Transit,3420.0,0.36,0.4,10h42m22.59s,+04d26m28.95s
1329,K2-24 b,556.0,19 Earths,11.275,2016,Neptune-like,0.482 x Jupiter,0.154 AU,20.9 days,0.06,K2-24,Transit,5625.0,1.16,1.07,16h10m17.63s,-24d59m26.17s
1330,K2-24 c,556.0,15.4 Earths,11.275,2016,Neptune-like,0.669 x Jupiter,0.247 AU,42.3 days,< 0.07,K2-24,Transit,5625.0,1.16,1.07,16h10m17.63s,-24d59m26.17s
1331,K2-240 b,238.0,4.66 Earths,13.372,2018,Super Earth,2.0 x Earth,0.0513 AU,6 days,0,K2-240,Transit,3810.0,0.54,0.58,15h11m23.85s,-17d52m31.61s
1332,K2-240 c,238.0,3.89 Earths,13.372,2018,Super Earth,1.8 x Earth,0.1159 AU,20.5 days,0,K2-240,Transit,3810.0,0.54,0.58,15h11m23.85s,-17d52m31.61s
1333,K2-241 b,488.0,7.04 Earths,11.97,2018,Neptune-like,0.227 x Jupiter,0.1567 AU,26.8 days,0,K2-241,Transit,5262.0,0.75,0.71,12h04m57.28s,-06d48m19.07s
1334,K2-242 b,356.0,6.99 Earths,16.414,2018,Neptune-like,0.227 x Jupiter,0.0494 AU,6.5 days,0,K2-242,Transit,3459.0,0.37,0.38,11h59m20.60s,-06d31m04.28s
1335,K2-243 b,871.0,5.35 Earths,10.971,2018,Neptune-like,2.17 x Earth,0.1087 AU,11.5 days,0,K2-243,Transit,6570.0,1.39,1.29,12h04m29.07s,-04d53m56.89s
1336,K2-243 c,871.0,4.7 Earths,10.971,2018,Super Earth,2.01 x Earth,0.1817 AU,24.9 days,0,K2-243,Transit,6570.0,1.39,1.29,12h04m29.07s,-04d53m56.89s
1337,K2-244 b,694.0,3.71 Earths,11.78,2018,Super Earth,1.75 x Earth,0.1418 AU,21.1 days,0,K2-244,Transit,5677.0,0.92,0.86,12h13m52.48s,-03d49m54.51s
1338,K2-245 b,1488.0,17.4 Earths,12.755,2018,Neptune-like,0.387 x Jupiter,0.0959 AU,11.9 days,0,K2-245,Transit,5793.0,1.25,0.83,12h20m43.58s,-01d35m27.29s
1339,K2-246 b,2295.0,12 Earths,14.792,2018,Neptune-like,0.311 x Jupiter,0.0602 AU,5.8 days,0,K2-246,Transit,5610.0,0.94,0.87,12h06m31.11s,-01d09m38.16s
1340,K2-247 b,842.0,5.14 Earths,14.857,2018,Neptune-like,2.12 x Earth,0.0304 AU,2.3 days,0,K2-247,Transit,4667.0,0.69,0.74,12h35m34.44s,-10d04m09.41s
1341,K2-247 c,842.0,5.43 Earths,14.857,2018,Neptune-like,2.19 x Earth,0.0615 AU,6.5 days,0,K2-247,Transit,4667.0,0.69,0.74,12h35m34.44s,-10d04m09.41s
1342,K2-248 b,1325.0,7.13 Earths,13.497,2018,Neptune-like,0.229 x Jupiter,0.0699 AU,7.2 days,0,K2-248,Transit,5528.0,0.92,0.88,12h11m16.16s,-09d24m51.01s
1343,K2-249 b,1702.0,8.2 Earths,12.646,2018,Neptune-like,0.249 x Jupiter,0.1151 AU,12.4 days,0,K2-249,Transit,6504.0,1.57,1.32,12h13m28.02s,-08d59m42.83s
1344,K2-25 b,147.0,11.6 Earths,16.21,2015,Neptune-like,0.306 x Jupiter,Unknown,3.5 days,0.27,K2-25,Transit,3180.0,0.29,0.29,04h13m05.74s,+15d14m51.73s
1345,K2-250 b,1353.0,6.53 Earths,14.314,2018,Neptune-like,0.218 x Jupiter,0.0459 AU,4 days,0,K2-250,Transit,5172.0,0.81,0.8,12h20m07.57s,-08d58m32.67s
1346,K2-251 b,480.0,6.12 Earths,15.66,2018,Neptune-like,0.21 x Jupiter,0.0694 AU,9.3 days,0,K2-251,Transit,3717.0,0.49,0.52,12h42m45.42s,-08d32m09.54s
1347,K2-252 b,746.0,3.68 Earths,12.93,2018,Super Earth,1.74 x Earth,0.1041 AU,13.8 days,0,K2-252,Transit,5152.0,0.82,0.79,12h09m27.93s,-08d18m34.61s
1348,K2-253 b,2859.0,Unknown,15.002,2018,Gas Giant,1.13 x Jupiter,0.0506 AU,4 days,0,K2-253,Transit,6027.0,1.1,1.08,12h24m20.47s,-06d22m44.23s
1349,K2-254 b,743.0,3.29 Earths,14.238,2018,Super Earth,1.63 x Earth,0.0448 AU,4.1 days,0,K2-254,Transit,4629.0,0.67,0.71,12h22m12.19s,-04d43m02.25s
1350,K2-254 c,743.0,5.43 Earths,14.238,2018,Neptune-like,2.19 x Earth,0.0923 AU,12.1 days,0,K2-254,Transit,4629.0,0.67,0.71,12h22m12.19s,-04d43m02.25s
1351,K2-255 b,625.0,8.75 Earths,13.662,2018,Neptune-like,0.259 x Jupiter,0.0274 AU,2 days,0,K2-255,Transit,4676.0,0.69,0.71,12h39m39.08s,-03d22m14.03s
1352,K2-256 b,1842.0,7.41 Earths,14.954,2018,Neptune-like,0.235 x Jupiter,0.0578 AU,5.5 days,0,K2-256,Transit,5219.0,0.78,0.84,12h24m54.50s,-02d03m57.77s
1353,K2-257 b,209.0,0.498 Earths,13.716,2018,Terrestrial,0.83 x Earth,0.0216 AU,1.6 days,0,K2-257,Transit,3725.0,0.5,0.52,12h33m06.79s,-01d57m11.84s
1354,K2-258 b,2159.0,9.27 Earths,13.361,2018,Neptune-like,0.268 x Jupiter,0.149 AU,19.1 days,0,K2-258,Transit,6351.0,1.31,1.21,12h30m31.54s,-01d09m39.30s
1355,K2-259 b,1358.0,5.99 Earths,12.511,2018,Neptune-like,0.207 x Jupiter,0.1271 AU,15.5 days,0,K2-259,Transit,6059.0,1.13,1.14,12h27m12.65s,+01d34m00.71s
1356,K2-26 b,323.0,7.61 Earths,14.528,2016,Neptune-like,0.238 x Jupiter,0.0962 AU,14.6 days,0,K2-26,Transit,3785.0,0.52,0.56,06h16m49.54s,+24d35m45.00s
1357,K2-260 b,2165.0,1.42 Jupiters,12.624,2018,Gas Giant,1.552 x Jupiter,0.0404 AU,2.6 days,0,K2-260,Transit,6367.0,1.69,1.39,05h07m28.16s,+16d52m03.70s
1358,K2-261 b,696.0,0.223 Jupiters,10.612,2018,Gas Giant,0.85 x Jupiter,0.102 AU,11.6 days,0.39,K2-261,Transit,5537.0,1.65,1.1,10h52m07.75s,+00d29m35.40s
1359,K2-263 b,530.0,14.8 Earths,11.568,2018,Super Earth,0.215 x Jupiter,0.2573 AU,50.8 days,< 0.14,K2-263,Transit,5368.0,0.85,0.88,08h38m43.71s,+15d40m50.17s
1360,K2-264 b,605.0,5.61 Earths,16.701,2018,Neptune-like,2.231 x Earth,0.05023 AU,5.8 days,< 0.5,K2-264,Transit,3660.0,0.47,0.5,08h45m26.00s,+19d41m54.24s
1361,K2-264 c,605.0,7.6 Earths,16.701,2018,Neptune-like,0.238 x Jupiter,0.11283 AU,19.7 days,< 0.45,K2-264,Transit,3660.0,0.47,0.5,08h45m26.00s,+19d41m54.24s
1362,K2-265 b,452.0,6.54 Earths,11.187,2018,Super Earth,1.71 x Earth,0.03376 AU,2.4 days,0.08,K2-265,Transit,5477.0,0.98,0.92,22h48m07.60s,-14d29m41.20s
1363,K2-266 b,253.0,11.26782 Earths,11.625,2018,Neptune-like,0.294 x Jupiter,0.01306 AU,0.7 days,0,K2-266,Transit,4285.0,0.7,0.69,10h31m44.56s,+00d56m14.20s
1364,K2-266 c,253.0,0.29013 Earths,11.625,2018,Terrestrial,0.705 x Earth,0.0679 AU,7.8 days,0.04,K2-266,Transit,4285.0,0.7,0.69,10h31m44.56s,+00d56m14.20s
1365,K2-266 d,253.0,8.9 Earths,11.625,2018,Neptune-like,0.261 x Jupiter,0.1035 AU,14.7 days,0.05,K2-266,Transit,4285.0,0.7,0.69,10h31m44.56s,+00d56m14.20s
1366,K2-266 e,253.0,14.3 Earths,11.625,2018,Neptune-like,0.244 x Jupiter,0.1249 AU,19.5 days,0.04,K2-266,Transit,4285.0,0.7,0.69,10h31m44.56s,+00d56m14.20s
1367,K2-268 b,1069.0,2.86 Earths,13.848,2018,Super Earth,1.5 x Earth,0.0308 AU,2.2 days,0,K2-268,Transit,5106.0,0.78,0.84,08h54m50.28s,+11d50m53.78s
1368,K2-268 c,1069.0,7.7 Earths,13.848,2018,Neptune-like,0.24 x Jupiter,0.0819 AU,9.3 days,0,K2-268,Transit,5106.0,0.78,0.84,08h54m50.28s,+11d50m53.78s
1369,K2-268 d,1069.0,2.83 Earths,13.848,2019,Super Earth,1.49 x Earth,Unknown,4.5 days,0,K2-268,Transit,5106.0,0.78,0.84,08h54m50.28s,+11d50m53.78s
1370,K2-268 e,1069.0,2.33 Earths,13.848,2019,Super Earth,1.33 x Earth,Unknown,6.1 days,0,K2-268,Transit,5106.0,0.78,0.84,08h54m50.28s,+11d50m53.78s
1371,K2-268 f,1069.0,5.6 Earths,13.848,2019,Neptune-like,2.23 x Earth,Unknown,26.3 days,0,K2-268,Transit,5106.0,0.78,0.84,08h54m50.28s,+11d50m53.78s
1372,K2-269 b,1177.0,3.09 Earths,11.784,2018,Super Earth,1.57 x Earth,0.0531 AU,4.1 days,0,K2-269,Transit,6209.0,1.45,1.16,08h40m37.23s,+13d00m52.85s
1373,K2-27 b,814.0,30.9 Earths,12.689,2016,Neptune-like,0.4 x Jupiter,0.06702 AU,6.8 days,0.25,K2-27,Transit,5248.0,0.89,0.87,11h26m03.64s,+01d13m50.25s
1374,K2-270 b,915.0,2.48 Earths,13.847,2018,Super Earth,1.38 x Earth,0.0247 AU,1.5 days,0,K2-270,Transit,4877.0,0.77,0.85,08h45m03.97s,+13d32m59.04s
1375,K2-270 c,915.0,9.01 Earths,13.847,2018,Neptune-like,0.263 x Jupiter,0.0497 AU,4.4 days,0,K2-270,Transit,4877.0,0.77,0.85,08h45m03.97s,+13d32m59.04s
1376,K2-271 b,1841.0,0.131 Jupiters,13.845,2018,Gas Giant,0.649 x Jupiter,0.077 AU,8.6 days,0,K2-271,Transit,5644.0,0.99,0.83,08h20m53.74s,+16d05m26.86s
1377,K2-272 b,1380.0,9.96 Earths,13.872,2018,Neptune-like,0.279 x Jupiter,0.1007 AU,14.5 days,0,K2-272,Transit,5397.0,0.83,0.86,08h50m29.08s,+17d32m32.59s
1378,K2-273 b,1005.0,9.53 Earths,13.246,2018,Neptune-like,0.272 x Jupiter,0.0729 AU,11.7 days,0,K2-273,Transit,5161.0,0.85,0.89,08h39m06.45s,+19d00m36.02s
1379,K2-274 b,745.0,4.98 Earths,13.181,2018,Super Earth,2.08 x Earth,0.0964 AU,14.1 days,0,K2-274,Transit,5044.0,0.7,0.79,08h37m07.77s,+20d23m57.30s
1380,K2-275 b,403.0,6.08 Earths,11.974,2018,Neptune-like,0.209 x Jupiter,0.0277 AU,3.3 days,0,K2-275,Transit,4841.0,0.69,0.77,08h48m40.77s,+20d27m18.06s
1381,K2-275 c,403.0,5.52 Earths,11.974,2018,Neptune-like,2.21 x Earth,0.0881 AU,8.4 days,0,K2-275,Transit,4841.0,0.69,0.77,08h48m40.77s,+20d27m18.06s
1382,K2-276 b,1592.0,13.7 Earths,14.654,2018,Neptune-like,0.336 x Jupiter,0.1291 AU,18.7 days,0,K2-276,Transit,5139.0,0.85,0.82,08h23m48.68s,+22d38m02.18s
1383,K2-277 b,369.0,4.94 Earths,10.364,2018,Super Earth,2.07 x Earth,0.0675 AU,6.3 days,0,K2-277,Transit,5741.0,0.97,1.02,13h28m03.89s,-15d56m16.71s
1384,K2-278 b,2565.0,9.17 Earths,13.446,2018,Neptune-like,0.266 x Jupiter,0.0488 AU,3.3 days,0,K2-278,Transit,6747.0,1.61,1.4,13h33m12.45s,-14d30m14.78s
1385,K2-279 b,597.0,1.92 Earths,11.491,2018,Super Earth,1.21 x Earth,0.067 AU,7.1 days,0,K2-279,Transit,5558.0,0.86,0.79,13h39m07.03s,-06d02m30.33s
1386,K2-28 b,205.0,5.99 Earths,16.526,2016,Neptune-like,0.207 x Jupiter,0.0214 AU,2.3 days,0,K2-28,Transit,3214.0,0.29,0.26,22h22m29.60s,-07d57m22.87s
1387,K2-280 b,1277.0,37.1 Earths,12.524,2018,Neptune-like,0.669 x Jupiter,0.1461 AU,19.9 days,0.35,K2-280,Transit,5500.0,1.28,1.03,19h26m22.89s,-22d14m51.75s
1388,K2-281 b,1494.0,0.16 Jupiters,15.048,2018,Gas Giant,0.73 x Jupiter,0.0773 AU,8.7 days,0,K2-281,Transit,4812.0,0.76,0.82,01h04m54.59s,+07d16m09.18s
1389,K2-282 b,1619.0,8.35 Earths,14.21,2018,Neptune-like,0.252 x Jupiter,0.0499 AU,4.2 days,0,K2-282,Transit,5523.0,0.94,0.95,00h53m43.72s,+07d59m43.05s
1390,K2-283 b,1314.0,12.2 Earths,14.364,2018,Neptune-like,0.314 x Jupiter,0.0291 AU,1.9 days,0,K2-283,Transit,5060.0,0.82,0.89,00h52m46.65s,+09d41m34.51s
1391,K2-284 b,350.0,8.15 Earths,13.265,2018,Neptune-like,0.248 x Jupiter,0.04771 AU,4.8 days,0.08,K2-284,Transit,4140.0,0.61,0.63,05h16m33.79s,+20d15m17.65s
1392,K2-285 b,505.0,9.68 Earths,12.075,2018,Super Earth,0.231 x Jupiter,0.03817 AU,3.5 days,0,K2-285,Transit,4975.0,0.79,0.83,23h17m32.24s,+01d18m00.55s
1393,K2-285 c,505.0,15.68 Earths,12.075,2018,Neptune-like,0.315 x Jupiter,0.0824 AU,7.1 days,0,K2-285,Transit,4975.0,0.79,0.83,23h17m32.24s,+01d18m00.55s
1394,K2-285 d,505.0,6.5 Earths,12.075,2018,Neptune-like,0.221 x Jupiter,0.1178 AU,10.5 days,0,K2-285,Transit,4975.0,0.79,0.83,23h17m32.24s,+01d18m00.55s
1395,K2-285 e,505.0,10.7 Earths,12.075,2018,Neptune-like,1.95 x Earth,0.18041 AU,14.8 days,0,K2-285,Transit,4975.0,0.79,0.83,23h17m32.24s,+01d18m00.55s
1396,K2-286 b,248.0,5.06 Earths,12.881,2018,Neptune-like,2.1 x Earth,0.1768 AU,27.4 days,0,K2-286,Transit,3926.0,0.62,0.64,15h33m28.76s,-16d46m25.36s
1397,K2-287 b,516.0,0.315 Jupiters,11.41,2018,Gas Giant,0.847 x Jupiter,0.1206 AU,14.9 days,0.48,K2-287,Transit,5695.0,1.07,1.06,15h32m17.84s,-22d21m30.04s
1398,K2-288 B b,214.0,4.27 Earths,13.868,2018,Super Earth,1.9 x Earth,0.164 AU,31.4 days,0,K2-288 B,Transit,3341.0,0.32,0.33,03h41m46.63s,+18d16m06.57s
1399,K2-289 b,895.0,0.192 Jupiters,14.81,2019,Gas Giant,0.812 x Jupiter,0.107 AU,13.2 days,0,K2-289,Transit,5529.0,1.02,0.95,16h26m34.31s,-15d47m33.14s
1400,K2-29 b,582.0,0.73 Jupiters,12.532,2016,Gas Giant,1.19 x Jupiter,0.04217 AU,3.3 days,0.07,K2-29,Transit,5358.0,0.86,0.94,04h10m40.90s,+24d24m05.96s
1401,K2-290 b,890.0,10.9 Earths,11.114,2019,Super Earth,0.273 x Jupiter,0.0923 AU,9.2 days,0,K2-290,Transit,6302.0,1.51,1.19,15h39m25.89s,-20d11m56.03s
1402,K2-290 c,890.0,0.774 Jupiters,11.114,2019,Gas Giant,1.006 x Jupiter,0.305 AU,48.4 days,0,K2-290,Transit,6302.0,1.51,1.19,15h39m25.89s,-20d11m56.03s
1403,K2-291 b,294.0,6.49 Earths,10.014,2019,Super Earth,1.589 x Earth,0.03261 AU,2.2 days,0,K2-291,Transit,5520.0,0.9,0.93,05h05m47.03s,+21d32m53.52s
1404,K2-292 b,373.0,24.5 Earths,9.885,2019,Neptune-like,0.235 x Jupiter,0.13 AU,17 days,0.04,K2-292,Transit,5725.0,1.09,1.0,13h41m30.21s,-09d56m45.85s
1405,K2-293 b,1280.0,6.57 Earths,13.44,2019,Neptune-like,0.219 x Jupiter,Unknown,13.1 days,0,K2-293,Transit,5532.0,0.95,0.96,23h26m25.56s,-06d01m40.46s
1406,K2-294 b,1217.0,3.39 Earths,12.649,2019,Super Earth,1.66 x Earth,Unknown,2.5 days,0,K2-294,Transit,5612.0,1.2,0.99,23h28m12.40s,-07d36m13.63s
1407,K2-295 b,759.0,0.335 Jupiters,13.8941,2018,Gas Giant,0.897 x Jupiter,0.0451 AU,4 days,0,K2-295,Transit,4444.0,0.7,0.74,01h18m26.43s,+06d49m00.22s
1408,K2-3 b,144.0,6.48 Earths,12.168,2015,Super Earth,1.98 x Earth,0.074 AU,10.1 days,0,K2-3,Transit,3896.0,0.56,0.6,11h29m20.49s,-01d27m18.49s
1409,K2-3 c,144.0,2.14 Earths,12.168,2015,Super Earth,1.56 x Earth,0.1345 AU,24.6 days,0,K2-3,Transit,3896.0,0.56,0.6,11h29m20.49s,-01d27m18.49s
1410,K2-3 d,144.0,2.80007 Earths,12.168,2015,Super Earth,1.53 x Earth,0.2097 AU,44.6 days,0,K2-3,Transit,3896.0,0.56,0.6,11h29m20.49s,-01d27m18.49s
1411,K2-30 b,1086.0,0.579 Jupiters,13.547,2016,Gas Giant,1.039 x Jupiter,0.04839 AU,4.1 days,0,K2-30,Transit,5425.0,0.84,0.9,03h29m22.09s,+22d17m57.66s
1412,K2-308 b,4288.0,0.222 Jupiters,15.072,2019,Gas Giant,0.884 x Jupiter,Unknown,3.4 days,0,K2-308,Transit,6100.0,1.24,1.09,05h13m21.39s,+16d24m51.11s
1413,K2-31 b,361.0,1.774 Jupiters,10.802,2016,Gas Giant,1.06 x Jupiter,0.022 AU,1.3 days,0,K2-31,Transit,5280.0,0.78,0.91,16h21m45.73s,-23d32m53.78s
1414,K2-315 b,186.0,0.809 Earths,17.67,2020,Terrestrial,0.95 x Earth,Unknown,3.1 days,0,K2-315,Transit,3300.0,0.2,0.17,15h12m05.06s,-20d06m29.39s
1415,K2-316 b,367.0,2.33 Earths,17.14,2020,Super Earth,1.33 x Earth,0.0147 AU,1.1 days,0,K2-316,Transit,3436.0,0.38,0.41,15h34m29.94s,-23d15m34.08s
1416,K2-316 c,367.0,4.01 Earths,17.14,2020,Super Earth,1.83 x Earth,0.0582 AU,5.3 days,0,K2-316,Transit,3436.0,0.38,0.41,15h34m29.94s,-23d15m34.08s
1417,K2-317 b,575.0,8.91 Earths,17.74,2020,Neptune-like,0.261 x Jupiter,0.0542 AU,6.2 days,0,K2-317,Transit,3387.0,0.38,0.4,15h14m28.53s,-21d01m21.80s
1418,K2-318 b,482.0,3.39 Earths,15.8,2020,Super Earth,1.66 x Earth,0.0911 AU,7 days,0,K2-318,Transit,3851.0,0.55,0.56,15h29m47.07s,-17d33m26.87s
1419,K2-319 b,682.0,8.2 Earths,12.213,2020,Neptune-like,0.249 x Jupiter,0.1516 AU,26.7 days,0,K2-319,Transit,5440.0,0.9,0.95,11h07m12.24s,+03d02m23.77s
1420,K2-32 b,514.0,15 Earths,12.304,2016,Neptune-like,0.473 x Jupiter,0.0795 AU,9 days,0.03,K2-32,Transit,5271.0,0.86,0.83,16h49m42.24s,-19d32m34.98s
1421,K2-32 c,514.0,8.1 Earths,12.304,2016,Neptune-like,0.28 x Jupiter,0.13843 AU,20.7 days,0.05,K2-32,Transit,5271.0,0.86,0.83,16h49m42.24s,-19d32m34.98s
1422,K2-32 d,514.0,6.7 Earths,12.304,2016,Neptune-like,0.311 x Jupiter,0.18422 AU,31.7 days,0.05,K2-32,Transit,5271.0,0.86,0.83,16h49m42.24s,-19d32m34.98s
1423,K2-32 e,514.0,2.1 Earths,12.304,2019,Super Earth,1.212 x Earth,0.04899 AU,4.3 days,0.04,K2-32,Transit,5271.0,0.86,0.83,16h49m42.24s,-19d32m34.98s
1424,K2-320 b,355.0,7.37 Earths,17.81,2020,Neptune-like,0.234 x Jupiter,0.0142 AU,2 days,0,K2-320,Transit,3157.0,0.3,0.12,10h53m00.46s,+05d18m23.32s
1425,K2-321 b,253.0,4.46 Earths,13.677,2020,Super Earth,1.95 x Earth,0.041 AU,2.3 days,0,K2-321,Transit,3855.0,0.58,0.6,10h25m37.32s,+02d30m49.98s
1426,K2-322 b,403.0,4.35 Earths,13.963,2020,Super Earth,1.92 x Earth,0.0594 AU,8.2 days,0,K2-322,Transit,4141.0,0.6,0.63,10h26m29.45s,+04d45m50.47s
1427,K2-323 b,386.0,5.06 Earths,14.935,2020,Neptune-like,2.1 x Earth,0.1275 AU,24.9 days,0,K2-323,Transit,3710.0,0.55,0.48,10h37m41.04s,+06d17m09.13s
1428,K2-324 b,446.0,6.48 Earths,15.223,2020,Neptune-like,0.217 x Jupiter,0.0331 AU,3.3 days,0,K2-324,Transit,3752.0,0.51,0.52,10h30m29.33s,+06d51m49.22s
1429,K2-325 b,364.0,5.48 Earths,17.77,2020,Neptune-like,2.2 x Earth,0.0419 AU,6.9 days,0,K2-325,Transit,3287.0,0.3,0.27,23h35m40.07s,-07d41m12.20s
1430,K2-326 b,921.0,5.82 Earths,15.982,2020,Neptune-like,0.203 x Jupiter,0.0198 AU,1.3 days,0,K2-326,Transit,3924.0,0.69,0.51,23h26m26.94s,+01d20m15.33s
1431,K2-329 b,761.0,0.26 Jupiters,12.697,2020,Gas Giant,0.774 x Jupiter,0.1016 AU,12.5 days,0.07,K2-329,Transit,5282.0,0.82,0.9,23h24m32.49s,-05d09m50.92s
1432,K2-33 b,454.0,3.7 Jupiters,15.838,2016,Neptune-like,0.45 x Jupiter,0.0409 AU,5.4 days,0,K2-33,Transit,3540.0,1.05,0.56,16h10m14.73s,-19d19m09.78s
1433,K2-330 b,522.0,8.1 Earths,9.608,2016,Neptune-like,0.247 x Jupiter,Unknown,13.8 days,0,K2-330,Transit,6232.0,1.5,1.23,08h27m35.24s,+11d40m02.69s
1434,K2-331 b,690.0,3.86 Earths,11.305,2021,Super Earth,1.79 x Earth,Unknown,9.4 days,0,K2-331,Transit,5994.0,1.06,1.1,08h50m57.03s,+13d10m12.97s
1435,K2-331 c,690.0,7.85 Earths,11.305,2018,Neptune-like,0.243 x Jupiter,Unknown,23 days,0,K2-331,Transit,5994.0,1.06,1.1,08h50m57.03s,+13d10m12.97s
1436,K2-332 b,402.0,5.48 Earths,16.4791,2016,Neptune-like,2.2 x Earth,Unknown,17.7 days,0,K2-332,Transit,3315.0,0.28,0.27,09h03m31.98s,+14d15m01.80s
1437,K2-333 b,1122.0,31.6 Earths,12.073,2018,Neptune-like,0.551 x Jupiter,Unknown,14.8 days,0,K2-333,Transit,5880.0,1.22,1.06,09h07m09.43s,+15d12m20.44s
