,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
3841,Kepler-861 b,2774.0,5.82 Earths,15.993,2016,Neptune-like,0.203 x Jupiter,0.0463 AU,3.9 days,0,Kepler-913,Transit,4687.0,0.61,0.63,19h50m19.93s,+41d57m08.47s
3842,Kepler-862 b,3389.0,5.52 Earths,15.601,2016,Neptune-like,2.21 x Earth,0.039 AU,3.1 days,0,Kepler-914,Transit,5877.0,1.15,1.1,19h21m38.90s,+44d53m57.56s
3843,Kepler-863 b,4892.0,8.75 Earths,15.567,2016,Neptune-like,0.259 x Jupiter,0.122 AU,15.6 days,0,Kepler-915,Transit,6173.0,1.38,1.21,19h22m22.11s,+45d44m13.99s
3844,Kepler-864 b,6599.0,6.35 Earths,15.898,2016,Neptune-like,0.214 x Jupiter,0.0687 AU,5.8 days,0,Kepler-916,Transit,5248.0,0.81,0.85,19h23m56.01s,+45d58m24.00s
3845,Kepler-865 b,1912.0,6.76 Earths,14.635,2016,Neptune-like,0.222 x Jupiter,0.1057 AU,14.2 days,0,Kepler-917,Transit,5418.0,0.76,0.8,19h56m12.30s,+47d56m57.36s
3846,Kepler-866 b,2109.0,3.29 Earths,16.124,2016,Super Earth,1.63 x Earth,0.0331 AU,2.6 days,0,Kepler-918,Transit,6028.0,1.14,1.11,19h52m48.17s,+48d16m04.05s
3847,Kepler-867 b,3900.0,19.4 Earths,15.098,2016,Neptune-like,0.414 x Jupiter,0.5375 AU,150.2 days,0,Kepler-919,Transit,6113.0,1.21,1.15,19h52m27.55s,+48d29m39.78s
3848,Kepler-868 b,5197.0,4.86 Earths,15.872,2016,Super Earth,2.05 x Earth,0.0575 AU,5 days,0,Kepler-92,Transit,5883.0,1.7,1.21,19h16m20.65s,+41d33m46.88s
3849,Kepler-869 b,3065.0,12.7 Earths,15.122,2016,Neptune-like,0.322 x Jupiter,0.2244 AU,40.4 days,0,Kepler-92,Transit,5883.0,1.7,1.21,19h16m20.65s,+41d33m46.88s
3850,Kepler-87 b,4022.0,1.02 Jupiters,14.681,2013,Gas Giant,1.204 x Jupiter,0.481 AU,114.7 days,0.04,Kepler-92,Transit,5904.34,1.82,1.07,19h16m20.65s,+41d33m46.88s
3851,Kepler-87 c,4022.0,6.4 Earths,14.681,2013,Neptune-like,0.548 x Jupiter,0.676 AU,191.2 days,0.04,Kepler-920,Transit,5403.0,0.85,0.89,18h57m11.26s,+49d09m30.95s
3852,Kepler-870 b,4108.0,8.15 Earths,15.326,2016,Neptune-like,0.248 x Jupiter,0.1539 AU,21.4 days,0,Kepler-920,Transit,5403.0,0.85,0.89,18h57m11.26s,+49d09m30.95s
3853,Kepler-871 b,6446.0,13.5 Earths,15.882,2016,Neptune-like,0.334 x Jupiter,0.1572 AU,22 days,0,Kepler-921,Transit,5663.0,0.91,0.93,18h58m27.89s,+49d11m26.68s
3854,Kepler-872 b,2870.0,4.62 Earths,15.242,2016,Super Earth,1.99 x Earth,0.0362 AU,2.6 days,0,Kepler-922,Transit,5671.0,0.93,0.95,18h58m55.59s,+49d31m59.34s
3855,Kepler-873 b,3856.0,13.5 Earths,15.052,2016,Neptune-like,0.335 x Jupiter,0.1542 AU,20.6 days,0,Kepler-923,Transit,5988.0,1.26,1.11,19h36m41.06s,+40d03m18.49s
3856,Kepler-874 b,3530.0,14.7 Earths,14.822,2016,Neptune-like,0.352 x Jupiter,0.2234 AU,40.1 days,0,Kepler-924,Transit,6167.0,1.23,1.14,19h22m40.44s,+40d23m51.75s
3857,Kepler-875 b,4053.0,8.75 Earths,15.357,2016,Neptune-like,0.259 x Jupiter,0.1771 AU,27.5 days,0,Kepler-925,Transit,4673.0,0.72,0.77,19h20m25.57s,+40d29m26.25s
3858,Kepler-876 b,2678.0,2.63 Earths,15.647,2016,Super Earth,1.43 x Earth,0.0549 AU,5.1 days,0,Kepler-926,Transit,5806.0,1.01,1.01,19h18m43.04s,+40d42m01.54s
3859,Kepler-877 b,1964.0,5.14 Earths,14.74,2016,Neptune-like,2.12 x Earth,0.1301 AU,18.5 days,0,Kepler-927,Transit,5743.0,0.99,0.99,19h17m32.04s,+41d23m33.59s
